iter	Passed	Remaining
401	13779	20497
402	13795	20436
403	13828	20400
404	13846	20341
405	13862	20281
406	13895	20245
407	13911	20185
408	13928	20126
409	13952	20077
410	13995	20057
411	14029	20022
412	14077	20008
413	14093	19948
414	14110	19890
415	14127	19833
416	14160	19797
417	14193	19762
418	14226	19727
419	14243	19669
420	14275	19632
421	14293	19577
422	14326	19542
423	14344	19487
424	14360	19428
425	14410	19417
426	14444	19383
427	14462	19328
428	14494	19292
429	14512	19237
430	14574	19241
431	14608	19207
432	14640	19171
433	14674	19137
434	14690	19081
435	14707	19025
436	14724	18970
437	14756	18933
438	14789	18898
439	14823	18866
440	14873	18853
441	14909	18822
442	14941	18786
443	14957	18730
444	14974	18675
445	15022	18659
446	15055	18625
447	15089	18591
448	15105	18536
449	15139	18503
450	15188	18488
451	15205	18435
452	15238	18400
453	15302	18403
454	15337	18371
455	15355	18318
456	15404	18303
457	15453	18287
458	15470	18234
459	15487	18180
460	15536	18165
461	15553	18112
462	15602	18096
463	15635	18061
464	15668	18027
465	15718	18012
466	15752	17978
467	15768	17925
468	15802	17891
469	15836	17858
470	15867	17822
471	15885	17769
472	15902	17717
473	15935	17684
474	15968	17649
475	15984	17596
476	16018	17562
477	16034	17510
478	16067	17476
479	16116	17459
480	16149	17425
481	16183	17392
482	16233	17376
483	16266	17342
484	16297	17305
485	16349	17291
486	16383	17257
487	16415	17223
488	16467	17208
489	16499	17173
490	16533	17139
491	16580	17119
492	16598	17069
493	16650	17055
494	16680	17017
495	16698	16967
496	16713	16915
497	16726	16861
498	16763	16830
499	16796	16796
500	16830	16763
501	16863	16729
502	16898	16697
503	16930	16661
504	16981	16644
505	17013	16609
506	17045	16574
507	17062	16525
508	17096	16491
509	17143	16471
510	17178	16438
511	17195	16389
512	17211	16339
513	17228	16289
514	17262	16257
515	17293	16220
516	17324	16185
517	17343	16138
518	17360	16089
519	17394	16056
520	17411	16007
521	17428	15959
522	17478	15941
523	17509	15905
524	17558	15886
525	17576	15838
526	17592	15790
527	17641	15770
528	17675	15737
529	17709	15704
530	17760	15686
531	17792	15652
532	17842	15633
533	17891	15613
534	17908	15565
535	17942	15532
536	17992	15513
537	18024	15478
538	18056	15443
539	18090	15410
540	18123	15376
541	18173	15356
542	18189	15309
543	18240	15290
544	18274	15256
545	18321	15234
546	18356	15201
547	18424	15196
548	18455	15160
549	18524	15156
550	18555	15120
551	18606	15100
552	18622	15052
553	18639	15006
554	18670	14970
555	18721	14950
556	18755	14916
557	18771	14869
558	18788	14822
559	18855	14814
560	18919	14805
561	18971	14785
562	18986	14737
563	19036	14716
564	19053	14669
565	19085	14634
566	19103	14588
567	19135	14553
568	19185	14532
569	19219	14499
570	19253	14465
571	19285	14430
572	19334	14408
573	19369	14375
574	19418	14353
575	19469	14332
576	19518	14309
577	19568	14286
578	19601	14252
579	19634	14218
580	19667	14183
581	19719	14162
582	19733	14114
583	19784	14093
584	19816	14058
585	19850	14023
586	19901	14001
587	19967	13990
588	19999	13955
589	20049	13933
590	20082	13898
591	20132	13874
592	20164	13840
593	20197	13805
594	20215	13759
595	20265	13736
596	20281	13691
597	20332	13668
598	20362	13631
599	20398	13598
600	20414	13552
601	20464	13529
602	20499	13496
603	20530	13460
604	20546	13414
605	20563	13369
606	20579	13324
607	20628	13300
608	20645	13255
609	20695	13231
610	20751	13211
611	20780	13174
612	20810	13138
613	20844	13104
614	20878	13070
615	20928	13046
616	20961	13011
617	20977	12966
618	21013	12934
619	21060	12908
620	21093	12873
621	21159	12858
622	21176	12814
623	21192	12769
624	21226	12735
625	21260	12702
626	21277	12657
627	21308	12622
628	21340	12586
629	21371	12551
630	21408	12519
631	21441	12485
632	21459	12441
633	21490	12406
634	21509	12363
635	21525	12319
636	21541	12275
637	21558	12231
638	21590	12197
639	21623	12162
640	21641	12120
641	21657	12077
642	21705	12050
643	21723	12008
644	21739	11965
645	21755	11921
646	21788	11887
647	21806	11845
648	21855	11820
649	21873	11777
650	21905	11743
651	21955	11718
652	21972	11675
653	22004	11641
654	22038	11607
655	22055	11565
656	22087	11531
657	22120	11497
658	22156	11464
659	22202	11437
660	22235	11403
661	22269	11370
662	22287	11328
663	22303	11285
664	22320	11244
665	22335	11201
666	22383	11175
667	22402	11134
668	22452	11108
669	22485	11075
670	22502	11033
671	22535	10999
672	22552	10957
673	22586	10924
674	22600	10881
675	22634	10848
676	22651	10807
677	22700	10781
678	22734	10747
679	22768	10714
680	22801	10680
681	22833	10646
682	22849	10605
683	22916	10587
684	22950	10553
685	22998	10527
686	23050	10502
687	23082	10467
688	23115	10433
689	23149	10400
690	23162	10357
691	23197	10324
692	23232	10291
693	23267	10258
694	23332	10239
695	23379	10211
696	23414	10178
697	23448	10145
698	23497	10118
699	23514	10077
700	23547	10043
701	23581	10010
702	23631	9983
703	23680	9956
704	23731	9929
705	23764	9896
706	23797	9862
707	23848	9835
708	23896	9808
709	23947	9781
710	23995	9753
711	24029	9719
712	24078	9692
713	24128	9664
714	24162	9631
715	24212	9603
716	24230	9563
717	24279	9536
718	24294	9494
719	24311	9454
720	24344	9420
721	24392	9392
722	24429	9359
723	24460	9324
724	24510	9297
725	24543	9263
726	24577	9229
727	24628	9201
728	24659	9167
729	24692	9133
730	24726	9099
731	24742	9058
732	24776	9024
733	24825	8996
734	24860	8963
735	24909	8935
736	24942	8900
737	25010	8878
738	25060	8850
739	25091	8815
740	25107	8775
741	25157	8747
742	25207	8719
743	25241	8685
744	25291	8656
745	25306	8616
746	25340	8582
747	25374	8548
748	25405	8513
749	25471	8490
750	25488	8450
751	25556	8428
752	25623	8405
753	25687	8380
754	25722	8347
755	25755	8312
756	25806	8283
757	25837	8248
758	25890	8220
759	25921	8185
760	25954	8151
761	25988	8117
762	26019	8082
763	26054	8048
764	26088	8014
765	26119	7979
766	26170	7950
767	26203	7915
768	26236	7881
769	26254	7842
770	26303	7812
771	26320	7773
772	26370	7743
773	26402	7709
774	26433	7674
775	26501	7650
776	26518	7610
777	26550	7576
778	26585	7542
779	26635	7512
780	26684	7482
781	26734	7452
782	26766	7418
783	26783	7379
784	26834	7349
785	26883	7319
786	26917	7285
787	26968	7255
