iter	Logloss
0	0.6265805897
1	0.5695932476
2	0.5235796435
3	0.484806088
4	0.4530286182
5	0.4311913356
6	0.4066856472
7	0.3885888238
8	0.371146407
9	0.3564779612
10	0.3449869992
11	0.3344128341
12	0.3256565521
13	0.3169947716
14	0.3098506572
15	0.3029743789
16	0.2978166133
17	0.2927577328
18	0.2884590061
19	0.2829703113
20	0.2789820935
21	0.2752180988
22	0.2721084158
23	0.2693094412
24	0.2666147905
25	0.2643748051
26	0.2618412846
27	0.2597075983
28	0.257639978
29	0.2549837598
30	0.2533921516
31	0.2517806888
32	0.2503090595
33	0.2478231767
34	0.2460756312
35	0.2449728146
36	0.2434529411
37	0.2416249231
38	0.2404517667
39	0.2393888298
40	0.2378081648
41	0.2369473075
42	0.2356521602
43	0.2346962513
44	0.2338295422
45	0.2331377467
46	0.2325006368
47	0.2308090047
48	0.2292682393
49	0.2283434
50	0.2274077033
51	0.2266073321
52	0.2239520048
53	0.2226056321
54	0.2218069277
55	0.2212404389
56	0.2197132644
57	0.219336883
58	0.2184342533
59	0.2176744551
60	0.2173074902
61	0.2162613314
62	0.2154946651
63	0.2151496097
64	0.2141755987
65	0.2134939976
66	0.2130125437
67	0.2126188602
68	0.2120832592
69	0.2107959494
70	0.2104266004
71	0.2096495576
72	0.2091333772
73	0.2080582919
74	0.2076662235
75	0.2070448142
76	0.2066554213
77	0.2058432845
78	0.2052351325
79	0.2044685974
80	0.2041189744
81	0.2030403306
82	0.2017184454
83	0.2012683357
84	0.2008849199
85	0.2005611208
86	0.200222098
87	0.199696681
88	0.199421788
89	0.1991392306
90	0.1983581598
91	0.1980503588
92	0.1970147109
93	0.1966416553
94	0.1963716102
95	0.1960862927
96	0.1958250717
97	0.1948240561
98	0.1943014641
99	0.1940356937
100	0.1935907791
101	0.1930239342
102	0.1927717657
103	0.1920644296
104	0.1913040997
105	0.1909325599
106	0.1906521655
107	0.1899567958
108	0.1897737018
109	0.1894882107
110	0.189287444
111	0.1889634781
112	0.1887618816
113	0.1885844683
114	0.1883213013
115	0.1878665869
116	0.1875883848
117	0.1874273937
118	0.1871685935
119	0.1868786692
120	0.1866825924
121	0.1864883722
122	0.186214173
123	0.1857428859
124	0.1849159823
125	0.1846376731
126	0.1841010263
127	0.1831551257
128	0.1827196296
129	0.1826019643
130	0.1824111771
131	0.1821293329
132	0.181712
133	0.1815878806
134	0.1813182392
135	0.1810645126
136	0.1809498636
137	0.1805236653
138	0.1801881984
139	0.1800104008
140	0.1796559571
141	0.1793774858
142	0.1792806732
143	0.1791074726
144	0.1789990172
145	0.1786901214
146	0.1785417011
147	0.178252536
148	0.1781107114
